Academic year,Economic Development Region,Institution,International_Domestic,Headcount
2016/2017,Cariboo,University Of Northern British Columbia,International,385
2016/2017,Kootenay,Selkirk College,Domestic,"10,365"
2016/2017,Kootenay,Selkirk College,International,965
2016/2017,Kootenay,College Of The Rockies,Domestic,"9,800"
2016/2017,Kootenay,College Of The Rockies,International,430
2016/2017,North,Coast Mountain College,Domestic,"4,125"
2016/2017,North,Coast Mountain College,International,25
2016/2017,North,Northern Lights College,Domestic,"3,380"
2016/2017,North,Northern Lights College,International,670
2017/2018,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,520"
2017/2018,Lower Mainland,University Of British Columbia Vancouver,International,"15,120"
2017/2018,Lower Mainland,British Columbia Institute Of Technology,Domestic,"41,280"
2017/2018,Lower Mainland,British Columbia Institute Of Technology,International,"4,610"
2017/2018,Lower Mainland,Simon Fraser University,Domestic,"26,650"
2017/2018,Lower Mainland,Simon Fraser University,International,"7,565"
2017/2018,Lower Mainland,Justice Institute Of British Columbia,Domestic,"27,420"
2017/2018,Lower Mainland,Justice Institute Of British Columbia,International,285
2017/2018,Lower Mainland,Douglas College,Domestic,"20,975"
2017/2018,Lower Mainland,Douglas College,International,"4,240"
2017/2018,Lower Mainland,Kwantlen Polytechnic University,Domestic,"16,900"
2017/2018,Lower Mainland,Kwantlen Polytechnic University,International,"5,935"
2017/2018,Lower Mainland,Langara College,Domestic,"15,810"
2017/2018,Lower Mainland,Langara College,International,"6,950"
2017/2018,Lower Mainland,Vancouver Community College,Domestic,"13,890"
2017/2018,Lower Mainland,Vancouver Community College,International,"1,260"
2017/2018,Lower Mainland,University Of The Fraser Valley,Domestic,"13,195"
2017/2018,Lower Mainland,University Of The Fraser Valley,International,"1,915"
2017/2018,Lower Mainland,Capilano University,Domestic,"8,115"
2017/2018,Lower Mainland,Capilano University,International,"2,070"
2017/2018,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,000"
2017/2018,Lower Mainland,Emily Carr University Of Art And Design,International,570
2017/2018,Vancouver Island and Coast,University Of Victoria,Domestic,"19,900"
2017/2018,Vancouver Island and Coast,University Of Victoria,International,"4,250"
2017/2018,Vancouver Island and Coast,Camosun College,Domestic,"17,040"
2017/2018,Vancouver Island and Coast,Camosun College,International,"2,085"
2017/2018,Vancouver Island and Coast,Vancouver Island University,Domestic,"12,485"
2017/2018,Vancouver Island and Coast,Vancouver Island University,International,"2,275"
2017/2018,Vancouver Island and Coast,North Island College,Domestic,"7,490"
2017/2018,Vancouver Island and Coast,North Island College,International,555
2017/2018,Vancouver Island and Coast,Royal Roads University,Domestic,"3,805"
2017/2018,Vancouver Island and Coast,Royal Roads University,International,635
2017/2018,Thompson Okanagan,Thompson Rivers University,Domestic,"28,530"
2017/2018,Thompson Okanagan,Thompson Rivers University,International,"5,680"
2017/2018,Thompson Okanagan,Okanagan College,Domestic,"18,930"
2017/2018,Thompson Okanagan,Okanagan College,International,"1,715"
2017/2018,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,790"
2017/2018,Thompson Okanagan,University Of British Columbia Okanagan,International,"1,520"
2017/2018,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,285"
2017/2018,Thompson Okanagan,Nicola Valley Institute Of Technology,International,*
2017/2018,Cariboo,College Of New Caledonia,Domestic,"7,190"
2017/2018,Cariboo,College Of New Caledonia,International,"1,445"
2017/2018,Cariboo,University Of Northern British Columbia,Domestic,"3,450"
2017/2018,Cariboo,University Of Northern British Columbia,International,380
2017/2018,Kootenay,Selkirk College,Domestic,"9,560"
2017/2018,Kootenay,Selkirk College,International,"1,340"
2017/2018,Kootenay,College Of The Rockies,Domestic,"9,925"
2017/2018,Kootenay,College Of The Rockies,International,590
2017/2018,North,Coast Mountain College,Domestic,"3,625"
2017/2018,North,Coast Mountain College,International,140
2017/2018,North,Northern Lights College,Domestic,"2,700"
2017/2018,North,Northern Lights College,International,655
2018/2019,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,300"
2018/2019,Lower Mainland,University Of British Columbia Vancouver,International,"15,865"
2018/2019,Lower Mainland,British Columbia Institute Of Technology,Domestic,"39,530"
2018/2019,Lower Mainland,British Columbia Institute Of Technology,International,"6,030"
2018/2019,Lower Mainland,Simon Fraser University,Domestic,"26,335"
2018/2019,Lower Mainland,Simon Fraser University,International,"8,030"
2018/2019,Lower Mainland,Justice Institute Of British Columbia,Domestic,"36,420"
2018/2019,Lower Mainland,Justice Institute Of British Columbia,International,370
